Date,Jour,1,2,3,4,5,Star 1,Star 2,Fichier,Feuille
2011-12-30,Vendredi,16,36.0,43.0,44.0,50.0,7,8,euromillions-past-draws-archive (13).xls,Sheet 1
2011-12-27,Mardi,19,21.0,25.0,26.0,44.0,3,7,euromillions-past-draws-archive (13).xls,Sheet 1
2011-12-23,Vendredi,7,21.0,22.0,24.0,28.0,1,11,euromillions-past-draws-archive (13).xls,Sheet 1
2011-12-20,Mardi,1,9.0,12.0,14.0,48.0,1,7,euromillions-past-draws-archive (13).xls,Sheet 1
2011-12-16,Vendredi,2,5.0,10.0,23.0,31.0,2,5,euromillions-past-draws-archive (13).xls,Sheet 1
2011-12-13,Mardi,7,12.0,18.0,33.0,37.0,1,11,euromillions-past-draws-archive (13).xls,Sheet 1
2011-12-09,Vendredi,12,21.0,29.0,44.0,47.0,1,2,euromillions-past-draws-archive (13).xls,Sheet 1
2011-12-06,Mardi,19,20.0,21.0,34.0,38.0,3,9,euromillions-past-draws-archive (13).xls,Sheet 1
2011-12-02,Vendredi,7,27.0,30.0,40.0,43.0,8,9,euromillions-past-draws-archive (13).xls,Sheet 1
2011-11-29,Mardi,11,25.0,41.0,45.0,50.0,2,7,euromillions-past-draws-archive (13).xls,Sheet 1
2011-11-25,Vendredi,14,19.0,26.0,28.0,34.0,5,8,euromillions-past-draws-archive (13).xls,Sheet 1
2011-11-22,Mardi,16,18.0,24.0,38.0,40.0,2,4,euromillions-past-draws-archive (13).xls,Sheet 1
2011-11-18,Vendredi,4,12.0,24.0,39.0,44.0,2,4,euromillions-past-draws-archive (13).xls,Sheet 1
2011-11-15,Mardi,6,17.0,22.0,45.0,47.0,3,11,euromillions-past-draws-archive (13).xls,Sheet 1
2011-11-11,Vendredi,1,4.0,18.0,23.0,30.0,3,7,euromillions-past-draws-archive (13).xls,Sheet 1
2011-11-08,Mardi,1,4.0,15.0,29.0,40.0,1,5,euromillions-past-draws-archive (13).xls,Sheet 1
2011-11-04,Vendredi,11,14.0,41.0,43.0,50.0,2,9,euromillions-past-draws-archive (13).xls,Sheet 1
2011-11-01,Mardi,14,20.0,23.0,45.0,46.0,1,11,euromillions-past-draws-archive (13).xls,Sheet 1
2011-10-28,Vendredi,16,17.0,20.0,39.0,50.0,4,8,euromillions-past-draws-archive (13).xls,Sheet 1
2011-10-25,Mardi,12,22.0,27.0,28.0,39.0,4,10,euromillions-past-draws-archive (13).xls,Sheet 1
2011-10-21,Vendredi,2,19.0,33.0,37.0,46.0,5,8,euromillions-past-draws-archive (13).xls,Sheet 1
2011-10-18,Mardi,18,23.0,37.0,46.0,48.0,2,10,euromillions-past-draws-archive (13).xls,Sheet 1
2011-10-14,Vendredi,12,23.0,29.0,32.0,47.0,3,5,euromillions-past-draws-archive (13).xls,Sheet 1
2011-10-11,Mardi,1,4.0,12.0,16.0,48.0,9,10,euromillions-past-draws-archive (13).xls,Sheet 1
2011-10-07,Vendredi,18,26.0,34.0,38.0,42.0,5,8,euromillions-past-draws-archive (13).xls,Sheet 1
2011-10-04,Mardi,14,16.0,23.0,38.0,45.0,8,11,euromillions-past-draws-archive (13).xls,Sheet 1
2011-09-30,Vendredi,5,15.0,28.0,31.0,44.0,1,6,euromillions-past-draws-archive (13).xls,Sheet 1
2011-09-27,Mardi,18,27.0,28.0,35.0,40.0,3,5,euromillions-past-draws-archive (13).xls,Sheet 1
2011-09-23,Vendredi,6,14.0,33.0,34.0,48.0,2,6,euromillions-past-draws-archive (13).xls,Sheet 1
2011-09-20,Mardi,9,19.0,25.0,36.0,38.0,7,11,euromillions-past-draws-archive (13).xls,Sheet 1
2011-09-16,Vendredi,2,8.0,17.0,39.0,42.0,3,10,euromillions-past-draws-archive (13).xls,Sheet 1
2011-09-13,Mardi,9,28.0,30.0,32.0,49.0,9,10,euromillions-past-draws-archive (13).xls,Sheet 1
2011-09-09,Vendredi,5,21.0,28.0,31.0,34.0,1,2,euromillions-past-draws-archive (13).xls,Sheet 1
2011-09-06,Mardi,35,42.0,47.0,48.0,50.0,8,9,euromillions-past-draws-archive (13).xls,Sheet 1
2011-09-02,Vendredi,12,26.0,37.0,38.0,44.0,4,7,euromillions-past-draws-archive (13).xls,Sheet 1
2011-08-30,Mardi,2,8.0,10.0,19.0,46.0,5,9,euromillions-past-draws-archive (13).xls,Sheet 1
2011-08-26,Vendredi,12,22.0,25.0,33.0,45.0,5,7,euromillions-past-draws-archive (13).xls,Sheet 1
2011-08-23,Mardi,4,6.0,14.0,42.0,50.0,2,4,euromillions-past-draws-archive (13).xls,Sheet 1
2011-08-19,Vendredi,6,14.0,16.0,28.0,31.0,2,11,euromillions-past-draws-archive (13).xls,Sheet 1
2011-08-16,Mardi,1,13.0,17.0,18.0,45.0,3,8,euromillions-past-draws-archive (13).xls,Sheet 1
2011-08-12,Vendredi,7,10.0,20.0,27.0,37.0,4,7,euromillions-past-draws-archive (13).xls,Sheet 1
2011-08-09,Mardi,7,23.0,24.0,34.0,36.0,8,11,euromillions-past-draws-archive (13).xls,Sheet 1
2011-08-05,Vendredi,13,14.0,18.0,32.0,34.0,1,10,euromillions-past-draws-archive (13).xls,Sheet 1
2011-08-02,Mardi,5,8.0,14.0,24.0,33.0,3,8,euromillions-past-draws-archive (13).xls,Sheet 1
2011-07-29,Vendredi,12,19.0,27.0,37.0,38.0,5,10,euromillions-past-draws-archive (13).xls,Sheet 1
2011-07-26,Mardi,1,5.0,22.0,25.0,48.0,3,11,euromillions-past-draws-archive (13).xls,Sheet 1
2011-07-22,Vendredi,4,15.0,23.0,49.0,50.0,2,6,euromillions-past-draws-archive (13).xls,Sheet 1
2011-07-19,Mardi,3,16.0,25.0,26.0,35.0,5,9,euromillions-past-draws-archive (13).xls,Sheet 1
2011-07-15,Vendredi,6,26.0,33.0,34.0,39.0,3,4,euromillions-past-draws-archive (13).xls,Sheet 1
2011-07-12,Mardi,17,19.0,38.0,42.0,45.0,9,10,euromillions-past-draws-archive (13).xls,Sheet 1
2011-07-08,Vendredi,12,13.0,23.0,40.0,49.0,7,10,euromillions-past-draws-archive (13).xls,Sheet 1
2011-07-05,Mardi,11,28.0,29.0,47.0,49.0,1,5,euromillions-past-draws-archive (13).xls,Sheet 1
2011-07-01,Vendredi,8,11.0,23.0,31.0,46.0,8,9,euromillions-past-draws-archive (13).xls,Sheet 1
2011-06-28,Mardi,15,16.0,30.0,44.0,50.0,2,3,euromillions-past-draws-archive (13).xls,Sheet 1
2011-06-24,Vendredi,5,16.0,20.0,30.0,41.0,6,11,euromillions-past-draws-archive (13).xls,Sheet 1
2011-06-21,Mardi,17,20.0,35.0,49.0,50.0,3,4,euromillions-past-draws-archive (13).xls,Sheet 1
2011-06-17,Vendredi,11,16.0,21.0,22.0,44.0,3,8,euromillions-past-draws-archive (13).xls,Sheet 1
2011-06-14,Mardi,5,12.0,19.0,41.0,48.0,8,10,euromillions-past-draws-archive (13).xls,Sheet 1
2011-06-10,Vendredi,3,19.0,20.0,37.0,48.0,8,11,euromillions-past-draws-archive (13).xls,Sheet 1
2011-06-07,Mardi,6,25.0,36.0,38.0,40.0,4,10,euromillions-past-draws-archive (13).xls,Sheet 1
2011-06-03,Vendredi,4,39.0,40.0,49.0,50.0,2,5,euromillions-past-draws-archive (13).xls,Sheet 1
2011-05-31,Mardi,1,9.0,10.0,22.0,50.0,5,11,euromillions-past-draws-archive (13).xls,Sheet 1
2011-05-27,Vendredi,9,17.0,25.0,28.0,49.0,8,9,euromillions-past-draws-archive (13).xls,Sheet 1
2011-05-24,Mardi,16,23.0,24.0,26.0,29.0,2,9,euromillions-past-draws-archive (13).xls,Sheet 1
2011-05-20,Vendredi,10,14.0,20.0,25.0,42.0,8,11,euromillions-past-draws-archive (13).xls,Sheet 1
2011-05-17,Mardi,20,21.0,37.0,45.0,46.0,2,3,euromillions-past-draws-archive (13).xls,Sheet 1
2011-05-13,Vendredi,9,11.0,17.0,36.0,47.0,1,2,euromillions-past-draws-archive (13).xls,Sheet 1
2011-05-10,Mardi,3,10.0,15.0,28.0,45.0,5,7,euromillions-past-draws-archive (13).xls,Sheet 1
2011-05-06,Vendredi,11,16.0,20.0,22.0,28.0,4,9,euromillions-past-draws-archive (13).xls,Sheet 1
2011-04-29,Vendredi,15,25.0,38.0,40.0,41.0,1,2,euromillions-past-draws-archive (13).xls,Sheet 1
2011-04-22,Vendredi,11,22.0,36.0,45.0,48.0,1,4,euromillions-past-draws-archive (13).xls,Sheet 1
2011-04-15,Vendredi,4,6.0,21.0,39.0,41.0,2,6,euromillions-past-draws-archive (13).xls,Sheet 1
2011-04-08,Vendredi,21,23.0,38.0,47.0,50.0,2,6,euromillions-past-draws-archive (13).xls,Sheet 1
2011-04-01,Vendredi,4,17.0,21.0,22.0,33.0,4,8,euromillions-past-draws-archive (13).xls,Sheet 1
2011-03-25,Vendredi,6,12.0,21.0,27.0,33.0,3,7,euromillions-past-draws-archive (13).xls,Sheet 1
2011-03-18,Vendredi,1,13.0,20.0,26.0,50.0,6,7,euromillions-past-draws-archive (13).xls,Sheet 1
2011-03-11,Vendredi,17,19.0,24.0,37.0,46.0,2,7,euromillions-past-draws-archive (13).xls,Sheet 1
2011-03-04,Vendredi,11,25.0,27.0,28.0,41.0,5,8,euromillions-past-draws-archive (13).xls,Sheet 1
2011-02-25,Vendredi,12,13.0,42.0,45.0,48.0,3,9,euromillions-past-draws-archive (13).xls,Sheet 1
2011-02-18,Vendredi,2,3.0,15.0,45.0,49.0,5,9,euromillions-past-draws-archive (13).xls,Sheet 1
2011-02-11,Vendredi,12,14.0,15.0,19.0,23.0,7,8,euromillions-past-draws-archive (13).xls,Sheet 1
2011-02-04,Vendredi,2,11.0,24.0,35.0,47.0,5,9,euromillions-past-draws-archive (13).xls,Sheet 1
2011-01-28,Vendredi,13,23.0,24.0,41.0,42.0,1,5,euromillions-past-draws-archive (13).xls,Sheet 1
2011-01-21,Vendredi,3,11.0,13.0,18.0,21.0,4,5,euromillions-past-draws-archive (13).xls,Sheet 1
2011-01-14,Vendredi,2,14.0,24.0,39.0,44.0,6,7,euromillions-past-draws-archive (13).xls,Sheet 1
2011-01-07,Vendredi,1,22.0,32.0,48.0,50.0,6,7,euromillions-past-draws-archive (13).xls,Sheet 1
Tirage de la loterie Euro Millions de l'année 2006 Année 2006 (depuis 2004),,,,,,,,,euromillions-past-draws-archive (18).xls,Sheet 1
,,,,,,,,,euromillions-past-draws-archive (18).xls,Sheet 1
,,SERIES,,,,,,,euromillions-past-draws-archive (18).xls,Sheet 1
Date,Jour de la semaine,1,2.0,3.0,4.0,5.0,Star 1,Star 2,euromillions-past-draws-archive (18).xls,Sheet 1
2006-12-29,Vendredi,6,9.0,13.0,14.0,35.0,3,4,euromillions-past-draws-archive (18).xls,Sheet 1
2006-12-22,Vendredi,9,11.0,20.0,38.0,43.0,2,3,euromillions-past-draws-archive (18).xls,Sheet 1
2006-12-15,Vendredi,9,23.0,35.0,37.0,42.0,3,7,euromillions-past-draws-archive (18).xls,Sheet 1
2006-12-08,Vendredi,16,17.0,18.0,36.0,47.0,1,2,euromillions-past-draws-archive (18).xls,Sheet 1
2006-12-01,Vendredi,4,8.0,16.0,37.0,41.0,2,5,euromillions-past-draws-archive (18).xls,Sheet 1
2006-11-24,Vendredi,5,8.0,17.0,25.0,40.0,1,5,euromillions-past-draws-archive (18).xls,Sheet 1
2006-11-17,Vendredi,12,22.0,32.0,33.0,36.0,2,6,euromillions-past-draws-archive (18).xls,Sheet 1
2006-11-10,Vendredi,14,21.0,27.0,30.0,36.0,2,3,euromillions-past-draws-archive (18).xls,Sheet 1
2006-11-03,Vendredi,11,13.0,24.0,44.0,49.0,3,9,euromillions-past-draws-archive (18).xls,Sheet 1
2006-10-27,Vendredi,3,4.0,8.0,44.0,50.0,7,8,euromillions-past-draws-archive (18).xls,Sheet 1
2006-10-20,Vendredi,10,19.0,34.0,45.0,47.0,3,6,euromillions-past-draws-archive (18).xls,Sheet 1
2006-10-13,Vendredi,2,25.0,32.0,38.0,41.0,3,5,euromillions-past-draws-archive (18).xls,Sheet 1
2006-10-06,Vendredi,5,11.0,22.0,35.0,38.0,7,8,euromillions-past-draws-archive (18).xls,Sheet 1
2006-09-29,Vendredi,1,3.0,6.0,18.0,24.0,5,8,euromillions-past-draws-archive (18).xls,Sheet 1
2006-09-22,Vendredi,10,29.0,30.0,45.0,49.0,3,8,euromillions-past-draws-archive (18).xls,Sheet 1
2006-09-15,Vendredi,6,10.0,16.0,26.0,49.0,7,9,euromillions-past-draws-archive (18).xls,Sheet 1
2006-09-08,Vendredi,1,10.0,12.0,32.0,33.0,1,8,euromillions-past-draws-archive (18).xls,Sheet 1
2006-09-01,Vendredi,3,7.0,25.0,45.0,50.0,6,9,euromillions-past-draws-archive (18).xls,Sheet 1
2006-08-25,Vendredi,10,28.0,40.0,47.0,48.0,6,8,euromillions-past-draws-archive (18).xls,Sheet 1
2006-08-18,Vendredi,12,37.0,39.0,40.0,50.0,1,2,euromillions-past-draws-archive (18).xls,Sheet 1
2006-08-11,Vendredi,27,28.0,31.0,46.0,47.0,2,5,euromillions-past-draws-archive (18).xls,Sheet 1
2006-08-04,Vendredi,1,14.0,15.0,26.0,32.0,3,7,euromillions-past-draws-archive (18).xls,Sheet 1
2006-07-28,Vendredi,3,8.0,12.0,29.0,43.0,6,7,euromillions-past-draws-archive (18).xls,Sheet 1
2006-07-21,Vendredi,2,4.0,9.0,38.0,50.0,6,8,euromillions-past-draws-archive (18).xls,Sheet 1
2006-07-14,Vendredi,1,7.0,17.0,31.0,36.0,2,8,euromillions-past-draws-archive (18).xls,Sheet 1
2006-07-07,Vendredi,7,9.0,18.0,35.0,43.0,5,7,euromillions-past-draws-archive (18).xls,Sheet 1
2006-06-30,Vendredi,6,15.0,16.0,40.0,43.0,1,2,euromillions-past-draws-archive (18).xls,Sheet 1
2006-06-23,Vendredi,9,21.0,30.0,43.0,44.0,1,9,euromillions-past-draws-archive (18).xls,Sheet 1
2006-06-16,Vendredi,1,16.0,26.0,30.0,36.0,3,9,euromillions-past-draws-archive (18).xls,Sheet 1
2006-06-09,Vendredi,3,12.0,15.0,34.0,39.0,4,6,euromillions-past-draws-archive (18).xls,Sheet 1
2006-06-02,Vendredi,7,8.0,27.0,41.0,48.0,1,6,euromillions-past-draws-archive (18).xls,Sheet 1
2006-05-26,Vendredi,2,12.0,21.0,41.0,49.0,3,7,euromillions-past-draws-archive (18).xls,Sheet 1
