Date,Tirage,Pred_FreqRetard,Hits_main_FD,Hits_star_FD,Pred_Markov,Hits_main_M,Hits_star_M
2022-01-04,18 28 35 36 41 + 6 11,5 16 23 24 44 + 2 8,0,0,4 17 20 27 32 + 3 7,0,0
2022-01-07,2 14 37 44 50 + 7 11,5 16 23 24 44 + 2 8,1,0,15 17 38 42 50 + 2 7,1,1
2022-01-11,4 23 32 33 44 + 9 12,5 16 23 24 27 + 2 8,1,0,5 7 29 42 50 + 2 3,0,0
2022-01-14,6 17 25 31 46 + 9 12,5 10 16 24 27 + 2 8,0,0,10 23 25 30 44 + 2 3,1,0
2022-01-18,3 12 19 24 30 + 2 5,5 10 16 24 27 + 2 8,1,1,4 23 39 44 50 + 2 3,0,1
2022-01-21,5 14 35 36 39 + 7 12,5 10 16 27 45 + 2 8,1,0,5 12 15 26 42 + 5 8,1,0
2022-01-25,6 16 18 39 47 + 2 4,10 16 27 42 45 + 2 8,1,1,19 20 34 37 38 + 2 3,0,1
2022-01-28,10 25 29 34 45 + 9 10,10 13 27 42 45 + 2 8,2,0,23 25 29 35 50 + 2 5,2,0
2022-02-01,1 19 36 38 49 + 6 9,13 21 23 27 42 + 2 8,0,0,1 25 26 27 44 + 2 3,1,0
2022-02-04,3 25 38 43 49 + 3 7,13 21 23 27 42 + 2 8,0,0,2 4 5 14 26 + 2 3,0,1
2022-02-08,6 20 34 37 43 + 7 10,13 21 23 27 42 + 2 8,0,0,1 2 5 19 42 + 3 8,0,0
2022-02-11,13 18 38 42 45 + 7 11,13 21 23 27 42 + 2 8,2,0,17 25 27 29 49 + 2 3,0,0
2022-02-15,9 20 31 33 44 + 2 12,21 23 27 44 50 + 2 8,1,1,1 5 10 26 43 + 2 3,0,1
2022-02-18,25 38 41 43 50 + 6 10,8 21 23 27 50 + 2 8,1,0,10 17 21 29 50 + 5 6,1,1
2022-02-22,5 9 14 26 32 + 3 7,8 21 23 26 27 + 2 8,1,0,2 6 15 19 38 + 2 7,0,1
2022-02-25,10 13 24 30 42 + 1 5,8 15 21 23 27 + 2 8,0,0,21 23 27 37 49 + 3 8,0,0
2022-03-01,8 24 26 39 42 + 3 5,8 15 21 23 27 + 2 8,1,0,11 19 23 24 44 + 2 6,1,0
2022-03-04,6 20 40 42 43 + 10 12,15 19 21 23 27 + 2 8,0,0,19 20 43 44 50 + 3 8,2,0
2022-03-08,12 18 21 25 31 + 2 9,15 19 21 23 27 + 2 8,1,1,10 15 19 29 38 + 2 3,0,1
2022-03-11,12 19 22 23 48 + 2 6,15 17 19 23 27 + 2 8,2,1,5 10 23 44 50 + 3 8,1,0
2022-03-15,1 2 12 19 26 + 2 8,4 15 17 27 44 + 2 8,0,2,5 14 15 26 38 + 6 7,1,0
2022-03-18,1 9 14 17 43 + 6 12,4 15 17 27 44 + 2 3,1,0,5 10 12 26 50 + 8 9,0,0
2022-03-22,7 17 21 29 40 + 8 11,4 11 15 27 44 + 2 3,0,0,14 19 29 38 50 + 2 7,1,0
2022-03-25,6 10 24 27 29 + 5 12,4 11 15 27 44 + 2 3,1,0,19 23 38 44 50 + 2 8,0,0
2022-03-29,8 11 33 42 43 + 6 11,4 11 15 44 50 + 2 3,1,0,1 19 24 35 44 + 2 7,0,0
2022-04-01,2 7 21 31 45 + 4 10,4 15 38 44 50 + 2 3,0,0,6 19 23 26 29 + 2 7,0,0
2022-04-05,1 11 13 24 49 + 5 6,4 15 38 44 50 + 2 3,0,0,4 9 10 17 50 + 2 3,0,0
2022-04-08,1 15 16 38 45 + 4 11,4 15 38 44 50 + 2 3,2,0,1 19 21 27 42 + 2 7,1,0
2022-04-12,21 30 31 35 47 + 2 10,4 19 37 44 50 + 2 3,0,1,5 21 25 43 44 + 2 5,1,1
2022-04-15,6 24 30 32 48 + 5 6,4 19 37 44 50 + 2 3,0,0,23 27 30 42 50 + 3 9,1,0
2022-04-19,2 12 17 28 46 + 6 10,4 19 37 44 50 + 2 3,0,0,5 15 23 27 44 + 2 7,0,0
2022-04-22,6 11 21 35 36 + 1 9,4 19 37 44 50 + 2 3,0,0,12 17 19 37 50 + 2 7,0,0
2022-04-26,4 25 28 34 45 + 8 11,4 19 37 44 50 + 2 3,1,0,15 21 23 42 44 + 2 3,0,0
2022-04-29,10 11 20 36 37 + 3 7,19 23 37 44 50 + 2 3,1,1,17 25 27 44 50 + 2 8,0,0
2022-05-03,8 20 26 47 48 + 3 8,5 19 23 44 50 + 2 3,0,1,7 14 25 42 44 + 3 8,0,2
2022-05-06,3 8 18 24 40 + 3 11,5 19 23 44 50 + 2 3,0,1,12 21 27 45 50 + 3 8,0,1
2022-05-10,3 25 27 28 29 + 4 9,5 19 23 44 50 + 2 3,0,0,1 5 7 19 42 + 3 8,0,0
2022-05-13,3 11 17 45 48 + 4 8,5 19 23 44 50 + 2 3,0,0,1 19 20 37 39 + 2 3,0,0
2022-05-17,5 28 30 48 49 + 5 11,5 19 23 44 50 + 2 3,1,0,1 5 7 25 26 + 2 9,1,0
2022-05-20,8 22 23 32 50 + 3 9,19 23 42 44 50 + 2 3,2,1,12 15 20 27 37 + 2 8,0,0
2022-05-24,10 13 27 36 37 + 2 10,19 21 38 42 44 + 2 3,0,1,14 25 38 42 49 + 3 8,0,0
2022-05-27,15 23 28 34 48 + 3 5,19 21 38 42 44 + 2 3,0,1,17 37 39 42 44 + 3 5,0,2
2022-05-31,3 10 13 42 49 + 3 9,19 21 38 42 44 + 2 3,1,1,3 15 21 38 44 + 3 8,1,1
2022-06-03,12 28 29 34 48 + 9 11,14 19 21 38 44 + 2 3,0,0,1 19 21 29 42 + 3 8,1,0
2022-06-07,6 16 17 25 31 + 2 6,14 19 21 38 44 + 2 3,0,1,1 15 19 38 50 + 2 8,0,1
2022-06-10,17 26 36 37 40 + 9 12,14 19 21 38 44 + 2 3,0,0,4 19 23 39 50 + 6 7,0,0
2022-06-14,2 7 27 34 40 + 3 11,14 19 21 38 44 + 2 3,0,1,7 39 42 44 50 + 2 3,1,1
2022-06-17,19 21 22 31 38 + 7 11,14 19 21 38 44 + 2 8,3,0,17 20 32 37 38 + 3 8,1,0
2022-06-21,6 23 36 39 47 + 8 10,1 14 23 39 44 + 2 8,2,1,2 4 20 26 44 + 2 3,0,0
2022-06-24,10 17 28 44 50 + 8 12,1 4 14 44 50 + 2 3,2,0,3 17 23 25 35 + 2 3,1,0
2022-06-28,10 35 42 47 48 + 2 11,1 4 5 14 20 + 2 3,0,1,7 21 29 38 50 + 8 9,0,0
2022-07-01,6 18 24 34 46 + 3 12,1 4 5 14 20 + 2 3,0,1,5 20 38 44 50 + 6 8,0,0
2022-07-05,7 10 25 45 48 + 3 6,1 4 5 14 20 + 2 3,0,1,1 17 23 24 44 + 3 6,0,2
2022-07-08,28 31 35 43 46 + 4 7,1 4 5 14 20 + 2 3,0,0,5 10 17 19 20 + 3 8,0,0
2022-07-12,14 18 24 25 50 + 6 11,1 4 5 14 20 + 2 3,1,0,30 38 42 44 50 + 2 3,1,0
2022-07-15,9 17 29 38 39 + 7 10,1 4 5 19 20 + 2 3,0,0,5 19 21 23 42 + 2 7,0,1
2022-07-19,6 23 27 40 41 + 2 12,1 4 5 19 20 + 2 3,0,1,19 25 26 35 43 + 2 3,0,1
2022-07-22,16 18 29 32 50 + 4 11,1 4 5 19 20 + 2 3,0,0,15 17 19 38 44 + 5 6,0,0
2022-07-26,3 5 17 25 27 + 1 9,1 4 5 19 20 + 2 3,1,0,1 10 23 25 37 + 2 5,1,0
2022-07-29,3 23 38 43 48 + 3 8,1 4 19 20 30 + 2 3,0,1,19 20 23 37 39 + 2 3,1,1
2022-08-02,7 18 28 40 48 + 8 11,1 4 19 20 30 + 2 3,0,0,1 3 5 19 38 + 3 8,0,1
2022-08-05,3 29 33 35 44 + 8 10,1 4 19 20 30 + 2 3,0,0,3 19 38 45 50 + 2 8,1,1
2022-08-09,18 19 21 27 47 + 5 11,1 4 19 20 30 + 2 3,1,0,7 10 19 42 50 + 2 3,1,0
2022-08-12,14 17 34 35 42 + 6 10,1 4 15 20 30 + 2 3,0,0,23 26 37 44 50 + 2 8,0,0
2022-08-16,10 14 25 32 39 + 7 8,1 4 15 20 30 + 2 3,0,0,19 26 34 42 50 + 2 7,0,1
2022-08-19,2 9 13 19 38 + 2 6,1 4 15 20 30 + 2 3,0,1,5 20 23 25 37 + 3 8,0,0
2022-08-23,19 26 31 39 48 + 2 3,1 4 15 20 30 + 2 3,0,2,10 21 26 37 42 + 6 7,1,0
2022-08-26,22 23 25 38 44 + 11 12,1 4 15 20 30 + 2 3,0,0,25 26 30 44 50 + 6 8,2,0
2022-08-30,4 6 10 15 19 + 1 4,1 4 15 20 30 + 2 3,2,0,5 19 20 21 38 + 2 6,1,0
2022-09-02,7 12 13 20 45 + 3 12,1 11 20 30 37 + 2 3,1,1,21 23 26 44 49 + 2 6,0,0
2022-09-06,7 10 22 29 44 + 4 5,1 11 30 37 50 + 2 3,0,0,10 17 19 21 26 + 3 6,1,0
2022-09-09,17 23 24 26 27 + 4 9,1 11 30 37 50 + 2 3,0,0,10 19 20 21 38 + 2 5,0,0
2022-09-13,9 12 15 40 47 + 1 11,1 11 30 37 50 + 2 3,0,0,7 17 19 21 44 + 2 3,0,0
2022-09-16,10 27 36 45 49 + 3 4,1 11 30 37 50 + 2 3,0,1,5 21 23 26 43 + 2 6,0,0
2022-09-20,11 21 23 32 48 + 3 12,1 11 30 37 50 + 2 8,1,0,1 17 20 39 44 + 2 8,0,0
2022-09-23,14 15 22 35 48 + 3 8,1 19 30 37 50 + 2 8,0,1,15 21 23 25 27 + 3 6,1,1
2022-09-27,4 20 21 34 44 + 1 3,1 19 30 37 50 + 2 3,0,1,5 14 19 21 38 + 3 8,1,1
2022-09-30,1 2 11 16 26 + 3 12,1 19 30 37 50 + 2 3,1,1,10 11 20 21 50 + 3 8,1,1
2022-10-04,3 18 28 42 43 + 3 12,5 19 30 37 50 + 2 3,0,1,10 19 21 30 37 + 3 6,0,1
2022-10-07,26 27 42 45 50 + 1 12,5 19 30 37 50 + 2 3,1,0,1 10 12 15 29 + 3 6,0,0
2022-10-11,8 23 32 35 40 + 1 8,5 19 30 37 38 + 2 3,0,0,1 4 5 39 44 + 2 6,0,0
2022-10-14,24 28 29 34 48 + 3 7,5 19 30 37 38 + 2 3,0,1,27 28 34 42 44 + 2 8,2,0
2022-10-18,3 5 13 42 48 + 1 6,5 19 30 37 38 + 2 3,1,0,3 15 19 44 50 + 3 8,1,0
2022-10-21,25 26 28 38 40 + 1 6,17 19 30 37 38 + 2 3,1,0,1 10 15 19 23 + 2 7,0,0
2022-10-25,7 24 34 39 46 + 1 6,17 19 23 30 37 + 2 3,0,0,3 19 28 42 45 + 2 7,0,0
2022-10-28,14 16 21 28 35 + 1 11,17 19 23 30 37 + 2 3,0,0,17 19 25 26 50 + 2 7,0,0
2022-11-01,19 37 42 47 48 + 1 6,17 19 23 30 37 + 2 3,2,0,19 23 42 45 50 + 2 6,2,1
2022-11-04,2 11 37 45 47 + 2 3,10 17 23 30 44 + 2 3,0,2,3 12 23 26 50 + 2 7,0,1
2022-11-08,3 5 32 33 50 + 1 8,10 17 23 30 44 + 2 3,0,0,5 7 23 25 26 + 3 8,1,1
2022-11-11,2 19 24 25 44 + 2 10,10 17 23 30 44 + 2 3,1,1,5 15 19 23 37 + 3 8,1,0
2022-11-15,13 21 24 31 33 + 1 12,10 17 23 30 38 + 2 3,0,0,5 12 19 26 50 + 3 5,0,0
2022-11-18,13 16 19 35 41 + 1 11,10 17 23 30 38 + 2 3,0,0,19 23 29 44 50 + 2 6,1,0
2022-11-22,21 22 24 29 42 + 3 11,10 17 23 30 38 + 2 3,0,1,14 15 26 44 50 + 2 6,0,0
2022-11-25,19 21 35 37 39 + 2 6,10 17 23 30 38 + 2 3,0,1,15 19 20 23 50 + 3 8,1,0
2022-11-29,15 20 24 35 38 + 8 12,10 17 23 30 38 + 2 3,1,0,23 25 26 44 50 + 6 7,0,0
2022-12-02,12 21 35 39 45 + 6 11,6 10 17 23 30 + 2 3,0,0,19 21 42 43 44 + 3 8,1,0
2022-12-06,12 20 25 26 27 + 8 12,6 10 17 23 30 + 2 3,0,0,10 25 26 34 44 + 2 7,2,0
2022-12-09,8 27 31 46 50 + 1 3,6 10 17 23 30 + 2 3,0,1,17 20 21 39 43 + 3 8,0,1
2022-12-13,3 9 12 26 30 + 10 11,6 10 17 23 30 + 2 3,1,0,6 30 37 38 39 + 3 8,1,0
2022-12-16,2 15 19 35 44 + 2 7,6 10 17 19 23 + 2 3,1,1,7 17 21 42 43 + 2 3,0,1
2022-12-20,1 11 17 20 27 + 4 5,4 6 10 17 23 + 2 3,1,0,21 26 31 44 50 + 3 8,0,0
2022-12-23,16 17 23 26 35 + 5 11,4 6 10 23 49 + 2 3,1,0,14 27 30 37 50 + 2 5,0,1
2022-12-27,19 31 33 34 43 + 3 5,4 6 10 42 49 + 2 3,0,1,7 19 21 44 50 + 2 8,1,0
2022-12-30,17 34 42 47 48 + 1 9,4 6 10 42 49 + 2 3,1,0,4 25 26 30 50 + 3 8,0,0
