N1,N2,N3,N4,N5,Star1,Star2,Probability
11,23,29,43,44,6,7,0.000200
21,23,30,34,37,5,8,0.000200
10,19,27,42,45,4,6,0.000200
7,13,18,31,39,8,9,0.000200
2,11,13,33,50,3,5,0.000200
3,8,17,24,40,1,11,0.000200
6,21,26,34,45,1,5,0.000200
2,4,21,31,40,1,8,0.000200
6,21,32,33,46,2,6,0.000200
4,14,29,31,38,1,6,0.000200
4,5,20,46,48,5,11,0.000200
8,20,27,33,41,4,9,0.000200
3,4,10,11,21,4,9,0.000200
2,39,44,45,49,2,3,0.000200
3,12,46,48,49,2,9,0.000200
6,10,13,35,43,7,11,0.000200
4,5,21,22,26,4,7,0.000200
2,9,21,25,30,1,7,0.000200
18,19,34,42,46,2,10,0.000200
1,8,14,35,39,3,6,0.000200
4,28,31,41,43,5,8,0.000200
4,12,18,26,46,1,10,0.000200
3,14,25,44,47,4,5,0.000200
8,24,25,44,49,4,9,0.000200
5,13,19,34,37,5,7,0.000200
5,9,31,40,45,3,11,0.000200
5,13,17,25,36,8,11,0.000200
3,5,30,35,40,5,6,0.000200
1,2,28,38,45,3,9,0.000200
4,8,11,22,50,6,9,0.000200
11,18,31,35,40,3,6,0.000200
7,11,13,14,41,7,11,0.000200
10,14,20,26,29,10,12,0.000200
10,13,15,17,21,6,8,0.000200
7,31,32,38,50,2,11,0.000200
5,14,15,28,32,5,7,0.000200
11,15,20,21,39,3,11,0.000200
4,9,16,29,38,5,8,0.000200
17,18,21,22,33,1,7,0.000200
7,11,23,27,40,1,4,0.000200
17,18,23,24,29,3,9,0.000200
3,24,30,36,38,2,3,0.000200
18,23,30,44,48,1,2,0.000200
6,11,27,47,50,1,11,0.000200
11,15,17,23,26,10,11,0.000200
6,20,38,42,49,3,10,0.000200
6,16,35,45,50,4,7,0.000200
2,11,14,16,19,6,10,0.000200
20,21,38,40,48,4,8,0.000200
2,10,18,21,47,10,12,0.000200
5,15,23,33,36,7,9,0.000200
6,13,26,42,43,5,8,0.000200
5,17,19,23,30,3,7,0.000200
16,22,23,25,30,3,10,0.000200
13,17,21,37,44,5,10,0.000200
1,37,39,43,44,1,2,0.000200
3,4,10,45,49,6,7,0.000200
17,31,35,36,42,6,12,0.000200
24,37,39,40,50,2,8,0.000200
3,6,17,34,50,11,12,0.000200
11,14,15,19,20,8,9,0.000200
2,22,31,38,49,2,9,0.000200
12,23,28,41,46,2,4,0.000200
5,13,20,39,45,8,9,0.000200
1,7,10,30,34,7,8,0.000200
4,10,28,47,49,9,10,0.000200
5,24,31,38,46,4,7,0.000200
5,30,36,37,50,5,12,0.000200
3,15,19,31,39,4,7,0.000200
11,12,18,22,43,3,12,0.000200
4,19,20,21,24,3,4,0.000200
1,11,14,41,44,3,8,0.000200
7,24,30,36,48,1,4,0.000200
5,6,9,45,50,3,7,0.000200
14,28,35,41,44,7,11,0.000200
6,13,29,34,36,1,2,0.000200
14,20,33,40,49,3,10,0.000200
1,35,38,39,45,6,7,0.000200
4,6,17,39,44,8,11,0.000200
